,Other Regions
0,10.0
1,62.0
2,51.0
3,40.0
4,46.0
5,4.0
6,20.0
7,25.0
8,57.0
9,60.0
10,89.0
11,10.0
12,63.0
13,26.0
14,73.0
15,84.0
16,67.0
17,37.0
18,45.0
19,17.0
20,36.0
21,21.0
22,57.0
23,39.0
24,21.0
25,45.0
26,45.0
27,20.0
28,43.0
29,8.0
30,2.0
31,73.0
32,61.0
33,43.0
34,13.0
35,28.0
36,1.0
37,55.0
38,4.0
39,4.0
40,65.0
41,47.0
42,2.0
43,0.0
44,58.0
45,25.0
46,33.0
47,28.0
48,43.0
49,48.0
50,76.0
51,43.0
52,69.0
53,0.0
54,8.0
55,5.0
56,21.0
57,25.0
58,45.0
59,56.0
60,60.0
61,23.0
62,20.0
63,10.0
64,9.0
65,47.0
66,77.0
67,29.0
68,36.0
69,48.0
70,51.0
71,21.0
72,44.0
73,50.0
74,16.0
75,27.0
76,78.0
77,65.0
78,21.0
79,76.0
80,39.0
81,21.0
82,42.0
83,26.0
84,18.0
85,6.0
86,19.0
87,24.0
88,49.0
89,86.0
90,76.0
91,44.0
92,30.0
93,82.0
94,47.0
95,28.0
96,67.0
97,87.0
98,55.0
99,43.0
100,79.0
101,23.0
102,39.0
103,76.0
104,68.0
105,57.0
106,49.0
107,44.0
108,26.0
109,37.0
110,25.0
111,54.0
112,20.0
113,26.0
114,39.0
115,65.0
116,31.0
117,26.0
118,34.0
119,18.0
120,49.0
121,34.0
122,38.0
123,20.0
124,71.0
125,41.0
126,5.0
127,60.0
128,28.0
129,33.0
130,62.0
131,14.0
132,46.0
133,36.0
134,34.0
135,3.0
136,87.0
137,83.0
138,72.0
139,30.0
140,32.0
141,7.0
142,49.0
143,16.0
144,56.0
145,33.0
146,75.0
147,75.0
148,21.0
149,13.0
150,18.0
151,8.0
152,27.0
153,1.0
154,79.0
155,37.0
156,1.0
157,28.0
158,52.0
159,66.0
160,57.0
161,1.0
162,17.0
163,74.0
164,63.0
165,50.0
166,16.0
167,19.0
168,29.0
169,69.0
170,61.0
171,12.0
172,51.0
173,48.0
174,42.0
175,12.0
176,19.0
177,77.0
178,16.0
179,60.0
180,77.0
181,14.0
182,48.0
183,50.0
184,39.0
185,56.0
186,78.0
187,14.0
188,7.0
189,35.0
190,52.0
191,21.0
192,9.0
193,42.0
194,78.0
195,62.0
196,26.0
197,40.0
198,62.0
199,14.0
200,38.0
201,53.0
202,25.0
203,36.0
204,44.0
205,59.0
206,9.0
207,14.0
208,29.0
209,29.0
210,81.0
211,24.0
212,54.0
213,63.0
214,52.0
215,13.0
216,5.0
217,76.0
218,34.0
219,50.0
220,59.0
221,59.0
222,12.0
223,18.0
224,54.0
225,52.0
226,34.0
227,63.0
228,72.0
229,23.0
230,70.0
231,61.0
232,81.0
233,70.0
234,78.0
235,38.0
236,47.0
237,24.0
238,12.0
239,32.0
240,35.0
241,27.0
242,73.0
243,48.0
244,46.0
245,20.0
246,48.0
247,22.0
248,29.0
249,49.0
250,70.0
251,14.0
252,24.0
253,40.0
254,64.0
255,16.0
256,57.0
257,64.0
258,73.0
259,20.0
260,63.0
261,49.0
262,48.0
263,52.0
264,22.0
265,25.0
266,7.0
267,46.0
268,4.0
269,43.0
270,60.0
271,67.0
272,1.0
273,10.0
274,26.0
275,39.0
276,1.0
277,1.0
278,4.0
279,52.0
280,19.0
281,35.0
282,8.0
283,18.0
284,45.0
285,5.0
286,39.0
287,3.0
288,1.0
289,60.0
290,27.0
291,39.0
292,58.0
293,15.0
294,39.0
295,8.0
296,45.0
297,26.0
298,66.0
299,26.0
300,45.0
301,22.0
302,22.0
303,63.0
304,71.0
305,89.0
306,29.0
307,2.0
308,58.0
309,9.0
310,41.0
311,46.0
312,41.0
313,11.0
314,45.0
315,34.0
316,10.0
317,2.0
318,17.0
319,63.0
320,52.0
321,73.0
322,38.0
323,44.0
324,75.0
325,67.0
326,4.0
327,55.0
328,8.0
329,12.0
330,35.0
331,61.0
332,66.0
333,25.0
334,1.0
335,1.0
336,55.0
337,49.0
338,44.0
339,7.0
340,70.0
341,14.0
342,14.0
343,40.0
344,12.0
345,41.0
346,48.0
347,34.0
348,5.0
349,67.0
350,43.0
351,55.0
352,69.0
353,15.0
354,87.0
355,41.0
356,92.0
357,12.0
358,30.0
359,35.0
360,23.0
361,64.0
362,15.0
363,25.0
364,7.0
365,60.0
366,46.0
367,89.0
368,74.0
369,74.0
370,50.0
371,24.0
372,42.0
373,81.0
374,9.0
375,71.0
376,82.0
377,28.0
378,22.0
379,28.0
380,47.0
381,74.0
382,51.0
383,59.0
384,38.0
385,0.0
386,55.0
387,66.0
388,21.0
389,44.0
390,61.0
391,72.0
392,17.0
393,34.0
394,78.0
395,12.0
396,26.0
397,37.0
398,38.0
399,73.0
400,36.0
401,44.0
402,55.0
403,36.0
404,16.0
405,12.0
406,40.0
407,24.0
408,16.0
409,44.0
410,13.0
411,7.0
412,59.0
413,73.0
414,40.0
415,28.0
416,14.0
417,21.0
418,17.0
419,42.0
420,47.0
421,52.0
422,0.0
423,42.0
424,67.0
425,59.0
426,66.0
427,18.0
428,53.0
429,22.0
430,21.0
431,7.0
432,47.0
433,19.0
434,30.0
435,34.0
436,39.0
437,55.0
438,10.0
439,24.0
440,23.0
441,13.0
442,19.0
443,74.0
444,46.0
445,61.0
446,75.0
447,22.0
448,31.0
449,62.0
450,50.0
451,37.0
452,11.0
453,81.0
454,64.0
455,56.0
456,35.0
457,18.0
458,39.0
459,62.0
460,51.0
461,52.0
462,35.0
463,67.0
464,2.0
465,81.0
466,16.0
467,29.0
468,44.0
469,47.0
470,0.0
471,55.0
472,14.0
473,8.0
474,69.0
475,44.0
476,80.0
477,78.0
478,18.0
479,53.0
480,39.0
481,58.0
482,38.0
483,52.0
484,52.0
485,42.0
486,27.0
487,7.0
488,1.0
489,64.0
490,4.0
491,69.0
492,50.0
493,48.0
494,41.0
495,52.0
496,51.0
497,55.0
498,68.0
499,40.0
500,66.0
501,36.0
502,4.0
503,41.0
504,18.0
505,44.0
506,47.0
507,31.0
508,56.0
509,47.0
510,30.0
511,68.0
512,21.0
513,12.0
514,73.0
515,24.0
516,12.0
517,16.0
518,18.0
519,42.0
520,18.0
521,2.0
522,19.0
523,52.0
524,23.0
525,31.0
526,14.0
527,4.0
528,51.0
529,36.0
530,84.0
531,17.0
532,23.0
533,29.0
534,44.0
535,0.0
536,41.0
537,40.0
538,22.0
539,36.0
540,62.0
541,15.0
542,80.0
543,53.0
544,60.0
545,73.0
546,19.0
547,34.0
548,68.0
549,15.0
550,3.0
551,22.0
552,4.0
553,26.0
554,54.0
555,65.0
556,57.0
557,50.0
558,22.0
559,63.0
560,0.0
561,51.0
562,35.0
563,34.0
564,6.0
565,59.0
566,91.0
567,37.0
568,58.0
569,52.0
570,61.0
571,10.0
572,9.0
573,47.0
574,52.0
575,4.0
576,49.0
577,15.0
578,89.0
579,62.0
580,12.0
581,34.0
582,54.0
583,66.0
584,42.0
585,14.0
586,56.0
587,26.0
588,2.0
589,9.0
590,73.0
591,47.0
592,61.0
593,14.0
594,15.0
595,71.0
596,48.0
597,93.0
598,26.0
599,44.0
600,77.0
601,50.0
602,46.0
603,42.0
604,10.0
605,4.0
606,41.0
607,22.0
608,52.0
609,13.0
610,55.0
611,12.0
612,58.0
613,40.0
614,62.0
615,67.0
616,14.0
617,0.0
618,57.0
619,14.0
620,5.0
621,42.0
622,9.0
623,10.0
624,42.0
625,4.0
626,48.0
627,53.0
628,55.0
629,46.0
630,50.0
631,74.0
632,77.0
633,73.0
634,28.0
635,29.0
636,49.0
637,11.0
638,4.0
639,63.0
640,48.0
641,76.0
642,87.0
643,1.0
644,64.0
645,42.0
646,71.0
647,72.0
648,34.0
649,43.0
650,52.0
651,77.0
652,36.0
653,11.0
654,77.0
655,54.0
656,52.0
657,31.0
658,21.0
659,39.0
660,99.0
661,38.0
662,27.0
663,48.0
664,42.0
665,26.0
666,50.0
667,12.0
668,14.0
669,18.0
670,16.0
671,52.0
672,69.0
673,4.0
674,67.0
675,71.0
676,26.0
677,54.0
678,42.0
679,32.0
680,65.0
681,77.0
